<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20160531,160000,134.5000000,135.1000000,134.2000000,134.8000000,6537400
SBER,60,20160531,170000,134.8100000,135.0500000,133.9000000,134.1200000,11544710
SBER,60,20160531,180000,134.1100000,134.2900000,132.5600000,132.5600000,18913120
SBER,60,20160601,100000,132.3600000,133.2100000,132.0100000,132.7200000,11278050
SBER,60,20160601,110000,132.7200000,133.1000000,131.8300000,131.9000000,5748550
SBER,60,20160601,120000,131.9100000,132.5300000,131.8300000,132.4100000,5645760
SBER,60,20160601,130000,132.4500000,132.4500000,131.9400000,132.3200000,3461180
SBER,60,20160601,140000,132.3100000,132.6500000,132.0300000,132.5300000,2587220
SBER,60,20160601,150000,132.5500000,132.9800000,132.0500000,132.1500000,3338420
SBER,60,20160601,160000,132.1000000,132.3000000,131.3100000,131.7800000,9785240
SBER,60,20160601,170000,131.7400000,132.1500000,131.6200000,131.6500000,9310450
SBER,60,20160601,180000,131.6700000,132.7000000,131.3600000,131.3600000,12968240
SBER,60,20160602,100000,131.6000000,132.1300000,130.7700000,131.4900000,14710700
SBER,60,20160602,110000,131.4500000,131.9600000,131.2600000,131.6200000,3363880
SBER,60,20160602,120000,131.6500000,131.8900000,131.3600000,131.3900000,2241200
SBER,60,20160602,130000,131.3600000,131.7600000,131.0600000,131.7500000,3075080
SBER,60,20160602,140000,131.7400000,132.6000000,131.5300000,132.0300000,6611220
SBER,60,20160602,150000,132.0500000,132.1600000,131.0000000,131.0900000,6497380
SBER,60,20160602,160000,131.0900000,131.0900000,130.5200000,130.7200000,7940510
SBER,60,20160602,170000,130.7200000,131.7400000,130.5100000,131.7400000,7295430
SBER,60,20160602,180000,131.7400000,133.0800000,131.5800000,132.3000000,12175140
SBER,60,20160603,100000,133.0800000,133.8500000,132.7100000,133.3700000,10219880
SBER,60,20160603,110000,133.4000000,134.4400000,133.3300000,133.4500000,9198200
SBER,60,20160603,120000,133.5000000,133.6900000,132.2000000,132.6600000,7743100
SBER,60,20160603,130000,132.6500000,133.0700000,132.2700000,132.3000000,2936950
SBER,60,20160603,140000,132.3000000,132.3000000,131.4300000,132.0300000,5404920
SBER,60,20160603,150000,132.0200000,133.0600000,131.5400000,131.9600000,10186600
SBER,60,20160603,160000,131.9600000,132.1800000,131.0400000,131.4300000,12003730
SBER,60,20160603,170000,131.3500000,131.8500000,131.0500000,131.7800000,5244390
SBER,60,20160603,180000,131.7700000,131.9600000,131.4000000,131.5900000,5192310
SBER,60,20160606,100000,132.1000000,134.0700000,132.0000000,133.9900000,11564790
SBER,60,20160606,110000,133.9900000,134.1000000,133.4100000,133.9900000,7232150
SBER,60,20160606,120000,133.9900000,134.7000000,133.7100000,134.5800000,6702880
SBER,60,20160606,130000,134.5900000,134.7400000,133.7300000,134.1700000,4692140
SBER,60,20160606,140000,134.1800000,134.5900000,133.6200000,133.7400000,3387690
SBER,60,20160606,150000,133.7600000,134.3700000,133.5500000,134.0000000,3465550
SBER,60,20160606,160000,134.1000000,134.5900000,133.7500000,134.4900000,3337890
SBER,60,20160606,170000,134.4900000,134.6600000,134.0500000,134.3500000,3670960
SBER,60,20160606,180000,134.3300000,134.4000000,133.7000000,133.9900000,4577200
SBER,60,20160607,100000,134.5100000,137.3500000,134.0200000,137.3300000,26179240
SBER,60,20160607,110000,137.3200000,138.2000000,137.1100000,137.9800000,18011860
SBER,60,20160607,120000,137.9700000,137.9900000,137.2000000,137.7100000,6329070
SBER,60,20160607,130000,137.7000000,138.5500000,137.3300000,138.3200000,7356880
SBER,60,20160607,140000,138.3000000,139.1400000,138.2600000,138.8200000,11320560
SBER,60,20160607,150000,138.8700000,139.2500000,138.6300000,139.0700000,6426320
SBER,60,20160607,160000,139.0700000,139.8700000,138.7800000,139.8300000,11743440
SBER,60,20160607,170000,139.8000000,139.8500000,138.9000000,139.0700000,7007290
SBER,60,20160607,180000,139.0500000,139.9700000,139.0000000,139.9700000,6741500
SBER,60,20160608,100000,141.1200000,142.0000000,140.1700000,140.8300000,25472190
SBER,60,20160608,110000,140.8100000,140.9300000,139.2000000,139.8900000,13462530
SBER,60,20160608,120000,139.8900000,140.2800000,139.6600000,139.8600000,3986440
SBER,60,20160608,130000,139.8600000,140.0000000,138.7300000,138.7500000,7768970
SBER,60,20160608,140000,138.7600000,139.1000000,138.3200000,138.8000000,5942950
